Ref,Val,Package,PosX,PosY,Rot,Side
"LED30","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",333.375000,-70.900000,0.000000,bottom
"LED31","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",361.950000,-70.900000,0.000000,bottom
"LED32","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",80.962500,-89.950000,0.000000,bottom
"LED33","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",104.775000,-89.950000,0.000000,bottom
"LED34","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",123.825000,-89.950000,0.000000,bottom
"LED35","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",142.875000,-89.950000,0.000000,bottom
"LED36","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",161.925000,-89.950000,0.000000,bottom
"LED37","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",180.975000,-89.950000,0.000000,bottom
"LED38","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",200.025000,-89.950000,0.000000,bottom
"LED39","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",219.075000,-89.950000,0.000000,bottom
"LED40","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",238.125000,-89.950000,0.000000,bottom
"LED41","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",257.175000,-89.950000,0.000000,bottom
"LED42","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",276.225000,-89.950000,0.000000,bottom
"LED43","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",295.275000,-89.950000,0.000000,bottom
"LED44","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",314.325000,-89.950000,0.000000,bottom
"LED45","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",338.137500,-89.950000,0.000000,bottom
"LED46","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",361.950000,-89.950000,0.000000,bottom
"LED47","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",80.962500,-109.000000,0.000000,bottom
"LED48","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",104.775000,-109.000000,0.000000,bottom
"LED49","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",123.825000,-109.000000,0.000000,bottom
"LED50","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",142.875000,-109.000000,0.000000,bottom
"LED51","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",161.925000,-109.000000,0.000000,bottom
"LED52","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",180.975000,-109.000000,0.000000,bottom
"LED53","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",200.025000,-109.000000,0.000000,bottom
"LED54","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",219.075000,-109.000000,0.000000,bottom
"LED55","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",238.125000,-109.000000,0.000000,bottom
"LED56","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",257.175000,-109.000000,0.000000,bottom
"LED57","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",276.225000,-109.000000,0.000000,bottom
"LED58","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",295.275000,-109.000000,0.000000,bottom
"LED59","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",328.612500,-109.000000,0.000000,bottom
"LED60","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",361.950000,-109.000000,0.000000,bottom
"LED61","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",85.725000,-128.050000,0.000000,bottom
"LED62","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",114.300000,-128.050000,0.000000,bottom
"LED63","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",133.350000,-128.050000,0.000000,bottom
"LED64","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",152.400000,-128.050000,0.000000,bottom
"LED65","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",171.450000,-128.050000,0.000000,bottom
"LED66","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",190.500000,-128.050000,0.000000,bottom
"LED67","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",209.550000,-128.050000,0.000000,bottom
"LED68","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",228.600000,-128.050000,0.000000,bottom
"LED69","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",247.650000,-128.050000,0.000000,bottom
"LED70","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",266.700000,-128.050000,0.000000,bottom
"LED71","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",285.750000,-128.050000,0.000000,bottom
"LED72","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",314.325000,-128.050000,0.000000,bottom
"LED73","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",342.900000,-128.050000,0.000000,bottom
"LED74","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",361.950000,-128.050000,0.000000,bottom
"LED75","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",78.581250,-147.100000,0.000000,bottom
"LED76","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",102.393750,-147.100000,0.000000,bottom
"LED77","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",126.206250,-147.100000,0.000000,bottom
"LED78","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",190.500000,-147.100000,0.000000,bottom
"LED79","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",254.793750,-147.100000,0.000000,bottom
"LED80","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",278.606250,-147.100000,0.000000,bottom
"LED81","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",302.418750,-147.100000,0.000000,bottom
"LED82","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",323.850000,-147.100000,0.000000,bottom
"LED83","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",342.900000,-147.100000,0.000000,bottom
"LED84","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",361.950000,-147.100000,0.000000,bottom
"R1","5.1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",51.500000,-38.600000,-90.000000,bottom
"R2","5.1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",63.000000,-38.600000,-90.000000,bottom
"R3","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",55.500000,-87.550000,-90.000000,bottom
"R4","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",58.000000,-87.550000,90.000000,bottom
"ROT_D1","D","D_SOD123",59.650000,-54.750000,90.000000,bottom
"U1","Blackpill","STM32F4x1CxU6 WeActStudio",66.100000,-160.000000,90.000000,bottom
