Ref,Val,Package,PosX,PosY,Rot,Side
LED24,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,209.55,70.9,0,bottom
LED25,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,228.6,70.9,0,bottom
LED26,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,247.65,70.9,0,bottom
LED27,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,266.7,70.9,0,bottom
LED28,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,285.75,70.9,0,bottom
LED29,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,304.8,70.9,0,bottom
LED30,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,333.375,70.9,0,bottom
LED31,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,361.95,70.9,0,bottom
LED32,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,80.9625,89.95,0,bottom
LED33,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,104.775,89.95,0,bottom
LED34,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,123.825,89.95,0,bottom
LED35,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,142.875,89.95,0,bottom
LED36,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,161.925,89.95,0,bottom
LED37,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,180.975,89.95,0,bottom
LED38,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,200.025,89.95,0,bottom
LED39,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,219.075,89.95,0,bottom
LED40,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,238.125,89.95,0,bottom
LED41,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,257.175,89.95,0,bottom
LED42,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,276.225,89.95,0,bottom
LED43,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.275,89.95,0,bottom
LED44,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,314.325,89.95,0,bottom
LED45,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,338.1375,89.95,0,bottom
LED46,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,361.95,89.95,0,bottom
LED47,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,80.9625,109,0,bottom
LED48,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,104.775,109,0,bottom
LED49,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,123.825,109,0,bottom
LED50,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,142.875,109,0,bottom
LED51,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,161.925,109,0,bottom
LED52,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,180.975,109,0,bottom
LED53,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,200.025,109,0,bottom
LED54,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,219.075,109,0,bottom
LED55,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,238.125,109,0,bottom
LED56,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,257.175,109,0,bottom
LED57,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,276.225,109,0,bottom
LED58,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.275,109,0,bottom
LED59,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,328.6125,109,0,bottom
LED60,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,361.95,109,0,bottom
LED61,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,85.725,128.05,0,bottom
LED62,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,114.3,128.05,0,bottom
LED63,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,133.35,128.05,0,bottom
LED64,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,152.4,128.05,0,bottom
LED65,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,171.45,128.05,0,bottom
LED66,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,190.5,128.05,0,bottom
LED67,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,209.55,128.05,0,bottom
LED68,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,228.6,128.05,0,bottom
LED69,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,247.65,128.05,0,bottom
LED70,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,266.7,128.05,0,bottom
LED71,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,285.75,128.05,0,bottom
LED72,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,314.325,128.05,0,bottom
LED73,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,342.9,128.05,0,bottom
LED74,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,361.95,128.05,0,bottom
LED75,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,78.58125,147.1,0,bottom
LED76,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,102.39375,147.1,0,bottom
LED77,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,126.20625,147.1,0,bottom
LED78,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,190.5,147.1,0,bottom
LED79,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,254.79375,147.1,0,bottom
LED80,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,278.60625,147.1,0,bottom
LED81,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,302.41875,147.1,0,bottom
LED82,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,323.85,147.1,0,bottom
LED83,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,342.9,147.1,0,bottom
LED84,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,361.95,147.1,0,bottom
R3,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,56,89.5,-90,bottom
R4,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,58.5,89.5,90,bottom
ROT_D1,D,D_SOD123,59.65,54.75,90,bottom
U3,USBLC6-2SC6,SOT-23-6,51.5,89.5875,180,bottom
CAPS_LED1,SK6812MINI-E,LED_SK6812MINI-E_PLCC4_3.2x2.8mm_P1.5mm_1,70.75,114.3,90,top
SW85,SW_Slide_DPDT,SW_CK_JS202011AQN_DPDT_Angled,52.0175,70.5,-90,top
U2,TXS0101DBV,SOT-23-6,55,105,90,top
