Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED22,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,104.9,23.4,0,bottom
LED23,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,123.95,23.4,0,bottom
LED24,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,143,23.4,0,bottom
LED25,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,162.05,23.4,0,bottom
LED26,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,181.1,23.4,0,bottom
LED27,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,200.15,23.4,0,bottom
LED28,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,219.2,23.4,0,bottom
LED29,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,238.25,23.4,0,bottom
LED30,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,266.825,23.4,0,bottom
LED31,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.4,23.4,0,bottom
LED32,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,14.4125,42.45,0,bottom
LED33,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,38.225,42.45,0,bottom
LED34,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,57.275,42.45,0,bottom
LED35,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,76.325,42.45,0,bottom
LED36,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,95.375,42.45,0,bottom
LED37,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,114.425,42.45,0,bottom
LED38,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,133.475,42.45,0,bottom
LED39,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,152.525,42.45,0,bottom
LED40,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,171.575,42.45,0,bottom
LED41,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,190.625,42.45,0,bottom
LED42,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,209.675,42.45,0,bottom
LED43,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,228.725,42.45,0,bottom
LED44,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,247.775,42.45,0,bottom
LED45,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,271.5875,42.45,0,bottom
LED46,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.4,42.45,0,bottom
LED47,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,14.4125,61.5,0,bottom
LED48,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,38.225,61.5,0,bottom
LED49,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,57.275,61.5,0,bottom
LED50,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,76.325,61.5,0,bottom
LED51,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,95.375,61.5,0,bottom
LED52,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,114.425,61.5,0,bottom
LED53,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,133.475,61.5,0,bottom
LED54,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,152.525,61.5,0,bottom
LED55,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,171.575,61.5,0,bottom
LED56,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,190.625,61.5,0,bottom
LED57,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,209.675,61.5,0,bottom
LED58,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,228.725,61.5,0,bottom
LED59,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,262.0625,61.5,0,bottom
LED60,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.4,61.5,0,bottom
LED61,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,19.175,80.55,0,bottom
LED62,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,47.75,80.55,0,bottom
LED63,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,66.8,80.55,0,bottom
LED64,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,85.85,80.55,0,bottom
LED65,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,104.9,80.55,0,bottom
LED66,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,123.95,80.55,0,bottom
LED67,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,143,80.55,0,bottom
LED68,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,162.05,80.55,0,bottom
LED69,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,181.1,80.55,0,bottom
LED70,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,200.15,80.55,0,bottom
LED71,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,219.2,80.55,0,bottom
LED72,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,247.775,80.55,0,bottom
LED73,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,276.35,80.55,0,bottom
LED74,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.4,80.55,0,bottom
LED75,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,12.03125,99.6,0,bottom
LED76,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,35.84375,99.6,0,bottom
LED77,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,59.65625,99.6,0,bottom
LED78,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,123.95,99.6,0,bottom
LED79,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,188.24375,99.6,0,bottom
LED80,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,212.05625,99.6,0,bottom
LED81,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,235.86875,99.6,0,bottom
LED82,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,257.3,99.6,0,bottom
LED83,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,276.35,99.6,0,bottom
LED84,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,295.4,99.6,0,bottom
R3,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-7.4,31.5,-90,bottom
R4,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-4.85,31.5,90,bottom
ROT_D1,D,D_SOD123,-8.85,7.2,90,bottom
U3,USBLC6-2SC6,SOT-23-6,-12.1125,31.5,180,bottom
CAPS_LED1,SK6812MINI-E,LED_SK6812MINI-E_PLCC4_3.2x2.8mm_P1.5mm_1,3.9,66.8,90,top
J6,Conn_01x20_Socket,XUNPU_FPC-05F-20PH20_1x20-1MP_P0.5mm_Horizontal,-6.888,48,-90,top
J7,Conn_01x20_Socket,XUNPU_FPC-05F-20PH20_1x20-1MP_P0.5mm_Horizontal,3.862,48,-90,top
ROT_SW1,RotaryEncoder_Switch_MP,RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm,-13.85,17.15,90,top
SW85,SW_Slide_DPDT,SW_CK_JS202011AQN_DPDT_Angled,-17.3,23,-90,top
U2,TXS0101DBV,SOT-23-6,-17.25,56.5125,90,top
